B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B14, Trade, 513.460, 89, B14, S06, 1
B14, Trade, 516.120, 97, B14, S10, 1
B14, Trade, 522.860, 97, B14, S03, 1
B14, Trade, 526.740, 105, B14, S10, 1
B14, Trade, 532.160, 89, B14, S08, 1
B14, Trade, 538.140, 94, S05, B14, 1
B14, Trade, 542.320, 94, B14, S08, 1
B14, Trade, 550.280, 83, B14, S08, 1
B14, Trade, 554.140, 98, B14, S00, 1
B14, Trade, 556.820, 96, B14, S10, 1
B14, Trade, 563.920, 88, B14, S02, 1
B14, Trade, 569.560, 92, S00, B14, 1
B14, Trade, 573.920, 104, B14, S02, 1
B14, Trade, 578.760, 96, B14, S06, 1
B14, Trade, 585.240, 95, B14, S02, 1
B14, Trade, 593.520, 100, B14, S06, 1
B14, Trade, 598.260, 106, B14, S11, 1
B14, Trade, 609.500, 99, B14, S10, 1
B14, Trade, 611.420, 99, B14, S02, 1
B14, Trade, 620.460, 89, B14, S09, 1
B14, Trade, 625.200, 108, B14, S04, 1
B14, Trade, 627.620, 108, B14, S07, 1
B14, Trade, 631.080, 106, B14, S08, 1
B14, Trade, 637.420, 101, B14, S01, 1
B14, Trade, 643.940, 106, B14, S01, 1
B14, Trade, 648.640, 81, B14, S06, 1
B14, Trade, 652.380, 96, S11, B14, 1
B14, Trade, 661.400, 81, B14, S05, 1
B14, Trade, 668.180, 91, B14, S03, 1
B14, Trade, 672.820, 99, S09, B14, 1
B14, Trade, 678.380, 97, B14, S10, 1
B14, Trade, 688.240, 93, S09, B14, 1
B14, Trade, 695.180, 96, B14, S06, 1
B14, Trade, 698.780, 96, S04, B14, 1
B14, Trade, 709.780, 96, B14, S06, 1
B14, Trade, 714.040, 90, B14, S08, 1
B14, Trade, 721.100, 88, B14, S02, 1
B14, Trade, 726.740, 88, B14, S02, 1
B14, Trade, 731.980, 88, S01, B14, 1
B14, Trade, 739.200, 108, B14, S14, 1
B14, Trade, 747.980, 101, S01, B14, 1
B14, Trade, 750.260, 89, B14, S02, 1
B14, Trade, 764.000, 94, B14, S02, 1
B14, Trade, 771.760, 93, S03, B14, 1
B14, Trade, 776.720, 93, B14, S06, 1
B14, Trade, 787.640, 86, S04, B14, 1
B14, Trade, 790.740, 81, B14, S02, 1
B14, Trade, 798.620, 104, B14, S09, 1
B14, Trade, 810.860, 90, B14, S02, 1
B14, Trade, 813.920, 97, B14, S02, 1
B14, Trade, 821.040, 90, B14, S06, 1
B14, Trade, 825.180, 90, S09, B14, 1
B14, Trade, 827.940, 96, B14, S02, 1
B14, Trade, 834.920, 89, B14, S03, 1
B14, Trade, 840.380, 101, B14, S04, 1
B14, Trade, 843.500, 96, S11, B14, 1
B14, Trade, 849.660, 89, B14, S06, 1
B14, Trade, 855.520, 88, B14, S06, 1
B14, Trade, 858.860, 94, B14, S10, 1
B15, 88
B15, Trade, 2.860, 73, S00, B15, 1
B15, Trade, 15.760, 97, B15, S02, 1
B15, Trade, 26.340, 95, S04, B15, 1
B15, Trade, 33.640, 105, S12, B15, 1
B15, Trade, 37.680, 98, S00, B15, 1
B15, Trade, 44.680, 87, S00, B15, 1
